result/tencentBlock.ns17114.csv                          LRB-BMR cache size        4MiB, 1000001 req, miss ratio 0.9130, byte miss ratio 0.9623
result/tencentBlock.ns17114.csv                          LRB-BMR cache size      495MiB, 1000001 req, miss ratio 0.1127, byte miss ratio 0.1856
result/tencentBlock.ns17114.csv                          Cacheus cache size        4MiB, 1000001 req, miss ratio 0.8097, byte miss ratio 0.9101
result/tencentBlock.ns17114.csv                          Cacheus cache size      495MiB, 1000001 req, miss ratio 0.1127, byte miss ratio 0.1844
result/tencentBlock.ns17114.csv                      TLCache-BMR cache size        4MiB, 1000001 req, miss ratio 0.7262, byte miss ratio 0.8608
result/tencentBlock.ns17114.csv                      TLCache-BMR cache size      495MiB, 1000001 req, miss ratio 0.1130, byte miss ratio 0.1860
result/tencentBlock.ns17114.csv                    TLCacheQL-BMR cache size        4MiB, 1000001 req, miss ratio 0.7365, byte miss ratio 0.8604
result/tencentBlock.ns17114.csv                    TLCacheQL-BMR cache size      495MiB, 1000001 req, miss ratio 0.1129, byte miss ratio 0.1862
result/tencentBlock.ns17114.csv                              LHD cache size        4MiB, 1000001 req, miss ratio 0.6406, byte miss ratio 0.8898
result/tencentBlock.ns17114.csv                              LHD cache size      495MiB, 1000001 req, miss ratio 0.1118, byte miss ratio 0.2176
result/tencentBlock.ns17114.csv                              ARC cache size        4MiB, 1000001 req, miss ratio 0.7102, byte miss ratio 0.8524
result/tencentBlock.ns17114.csv                              ARC cache size      495MiB, 1000001 req, miss ratio 0.1113, byte miss ratio 0.1837
result/tencentBlock.ns17114.csv                              LRU cache size        4MiB, 1000001 req, miss ratio 0.9373, byte miss ratio 0.9762
result/tencentBlock.ns17114.csv                              LRU cache size      495MiB, 1000001 req, miss ratio 0.1127, byte miss ratio 0.1856
result/tencentBlock.ns17114.csv                            LeCaR cache size        4MiB, 1000001 req, miss ratio 0.9328, byte miss ratio 0.9742
result/tencentBlock.ns17114.csv                            LeCaR cache size      495MiB, 1000001 req, miss ratio 0.1127, byte miss ratio 0.1856
result/tencentBlock.ns17114.csv                            Sieve cache size        4MiB, 1000001 req, miss ratio 0.8066, byte miss ratio 0.9149
result/tencentBlock.ns17114.csv                            Sieve cache size      495MiB, 1000001 req, miss ratio 0.1115, byte miss ratio 0.1844
result/tencentBlock.ns17114.csv                             GDSF cache size        4MiB, 1000001 req, miss ratio 0.6078, byte miss ratio 0.8854
result/tencentBlock.ns17114.csv                             GDSF cache size      495MiB, 1000001 req, miss ratio 0.1097, byte miss ratio 0.2251
result/tencentBlock.ns17114.csv                  S3FIFO-0.1000-2 cache size        4MiB, 1000001 req, miss ratio 0.7089, byte miss ratio 0.8502
result/tencentBlock.ns17114.csv                  S3FIFO-0.1000-2 cache size      495MiB, 1000001 req, miss ratio 0.1124, byte miss ratio 0.1858
result/tencentBlock.ns17114.csv                          LRB-BMR cache size        4MiB, 1000001 req, miss ratio 0.9130, byte miss ratio 0.9623
result/tencentBlock.ns17114.csv                          LRB-BMR cache size      495MiB, 1000001 req, miss ratio 0.1127, byte miss ratio 0.1856
result/tencentBlock.ns17114.csv                          Cacheus cache size        4MiB, 1000001 req, miss ratio 0.8097, byte miss ratio 0.9101
result/tencentBlock.ns17114.csv                          Cacheus cache size      495MiB, 1000001 req, miss ratio 0.1127, byte miss ratio 0.1844
