result/w02.csv                    TLCacheQL-BMR cache size       20MiB, 1000001 req, miss ratio 0.9946, byte miss ratio 0.9993
result/w02.csv                              LRU cache size       20MiB, 1000001 req, miss ratio 0.9967, byte miss ratio 0.9996
result/w02.csv                              LRU cache size     2001MiB, 1000001 req, miss ratio 0.9914, byte miss ratio 0.9987
result/w02.csv                             GDSF cache size       20MiB, 1000001 req, miss ratio 0.9937, byte miss ratio 0.9994
result/w02.csv                             GDSF cache size     2001MiB, 1000001 req, miss ratio 0.3661, byte miss ratio 0.7850
result/w02.csv                            Sieve cache size       20MiB, 1000001 req, miss ratio 0.9910, byte miss ratio 0.9989
result/w02.csv                            Sieve cache size     2001MiB, 1000001 req, miss ratio 0.9872, byte miss ratio 0.9978
result/w02.csv                  S3FIFO-0.1000-2 cache size       20MiB, 1000001 req, miss ratio 0.9788, byte miss ratio 0.9933
result/w02.csv                  S3FIFO-0.1000-2 cache size     2001MiB, 1000001 req, miss ratio 0.6611, byte miss ratio 0.6346
result/w02.csv                          Cacheus cache size       20MiB, 1000001 req, miss ratio 0.9907, byte miss ratio 0.9988
result/w02.csv                          Cacheus cache size     2001MiB, 1000001 req, miss ratio 0.7992, byte miss ratio 0.7591
result/w02.csv                          LRB-BMR cache size       20MiB, 1000001 req, miss ratio 0.9897, byte miss ratio 0.9976
result/w02.csv                          LRB-BMR cache size     2001MiB, 1000001 req, miss ratio 0.5246, byte miss ratio 0.5205
result/w02.csv                      TLCache-BMR cache size       20MiB, 1000001 req, miss ratio 0.9948, byte miss ratio 0.9994
result/w02.csv                      TLCache-BMR cache size     2001MiB, 1000001 req, miss ratio 0.5801, byte miss ratio 0.5719
result/w02.csv                    TLCacheQL-BMR cache size       20MiB, 1000001 req, miss ratio 0.9946, byte miss ratio 0.9993
result/w02.csv                    TLCacheQL-BMR cache size     2001MiB, 1000001 req, miss ratio 0.5489, byte miss ratio 0.5023
result/w02.csv                              LHD cache size       20MiB, 1000001 req, miss ratio 0.9941, byte miss ratio 0.9994
result/w02.csv                              LHD cache size     2001MiB, 1000001 req, miss ratio 0.3903, byte miss ratio 0.7131
result/w02.csv                            LeCaR cache size       20MiB, 1000001 req, miss ratio 0.9965, byte miss ratio 0.9996
result/w02.csv                            LeCaR cache size     2001MiB, 1000001 req, miss ratio 0.9914, byte miss ratio 0.9987
result/w02.csv                             GDSF cache size       20MiB, 1000001 req, miss ratio 0.9937, byte miss ratio 0.9994
result/w02.csv                             GDSF cache size     2001MiB, 1000001 req, miss ratio 0.3661, byte miss ratio 0.7850
result/w02.csv                              ARC cache size       20MiB, 1000001 req, miss ratio 0.9907, byte miss ratio 0.9988
result/w02.csv                              ARC cache size     2001MiB, 1000001 req, miss ratio 0.9872, byte miss ratio 0.9978
result/w02.csv                              LRU cache size       20MiB, 1000001 req, miss ratio 0.9967, byte miss ratio 0.9996
result/w02.csv                              LRU cache size     2001MiB, 1000001 req, miss ratio 0.9914, byte miss ratio 0.9987
result/w02.csv                            Sieve cache size       20MiB, 1000001 req, miss ratio 0.9910, byte miss ratio 0.9989
result/w02.csv                            Sieve cache size     2001MiB, 1000001 req, miss ratio 0.9872, byte miss ratio 0.9978
result/w02.csv                  S3FIFO-0.1000-2 cache size       20MiB, 1000001 req, miss ratio 0.9788, byte miss ratio 0.9933
result/w02.csv                  S3FIFO-0.1000-2 cache size     2001MiB, 1000001 req, miss ratio 0.6611, byte miss ratio 0.6346
result/w02.csv                          Cacheus cache size       20MiB, 1000001 req, miss ratio 0.9907, byte miss ratio 0.9988
result/w02.csv                          Cacheus cache size     2001MiB, 1000001 req, miss ratio 0.7992, byte miss ratio 0.7591
result/w02.csv                          LRB-BMR cache size       20MiB, 1000001 req, miss ratio 0.9897, byte miss ratio 0.9976
result/w02.csv                          LRB-BMR cache size     2001MiB, 1000001 req, miss ratio 0.5246, byte miss ratio 0.5205
