result/w53.csv                      TLCache-BMR cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9084
result/w53.csv                              LRU cache size      570MiB, 1000001 req, miss ratio 0.6017, byte miss ratio 0.9405
result/w53.csv                              LRU cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9084
result/w53.csv                              ARC cache size      570MiB, 1000001 req, miss ratio 0.6149, byte miss ratio 0.9519
result/w53.csv                              ARC cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9084
result/w53.csv                            Sieve cache size      570MiB, 1000001 req, miss ratio 0.5973, byte miss ratio 0.9407
result/w53.csv                            Sieve cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9084
result/w53.csv                            LeCaR cache size      570MiB, 1000001 req, miss ratio 0.5963, byte miss ratio 0.9388
result/w53.csv                            LeCaR cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9084
result/w53.csv                          LRB-BMR cache size      570MiB, 1000001 req, miss ratio 0.6017, byte miss ratio 0.9405
result/w53.csv                          LRB-BMR cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9084
result/w53.csv                             GDSF cache size      570MiB, 1000001 req, miss ratio 0.5687, byte miss ratio 0.9392
result/w53.csv                             GDSF cache size    57061MiB, 1000001 req, miss ratio 0.5399, byte miss ratio 0.9089
result/w53.csv                  S3FIFO-0.1000-2 cache size      570MiB, 1000001 req, miss ratio 0.5963, byte miss ratio 0.9437
result/w53.csv                  S3FIFO-0.1000-2 cache size    57061MiB, 1000001 req, miss ratio 0.5400, byte miss ratio 0.9086
