result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size       42MiB, 1000001 req, miss ratio 0.1867, byte miss ratio 0.5169
result/tencentBlock.ns3535.csv                            LeCaR cache size       42MiB, 1000001 req, miss ratio 0.1990, byte miss ratio 0.5242
result/tencentBlock.ns3535.csv                            LeCaR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size       42MiB, 1000001 req, miss ratio 0.1795, byte miss ratio 0.4943
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                             GDSF cache size       42MiB, 1000001 req, miss ratio 0.1710, byte miss ratio 0.5219
result/tencentBlock.ns3535.csv                             GDSF cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size       42MiB, 1000001 req, miss ratio 0.1867, byte miss ratio 0.5169
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size       42MiB, 1000001 req, miss ratio 0.1836, byte miss ratio 0.5116
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LRU cache size       42MiB, 1000001 req, miss ratio 0.2031, byte miss ratio 0.5197
result/tencentBlock.ns3535.csv                              LRU cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              ARC cache size       42MiB, 1000001 req, miss ratio 0.2131, byte miss ratio 0.5337
result/tencentBlock.ns3535.csv                              ARC cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            LeCaR cache size       42MiB, 1000001 req, miss ratio 0.1990, byte miss ratio 0.5242
result/tencentBlock.ns3535.csv                            LeCaR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LHD cache size       42MiB, 1000001 req, miss ratio 0.1712, byte miss ratio 0.5216
result/tencentBlock.ns3535.csv                              LHD cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size       42MiB, 1000001 req, miss ratio 0.1795, byte miss ratio 0.4943
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            Sieve cache size       42MiB, 1000001 req, miss ratio 0.1937, byte miss ratio 0.5207
result/tencentBlock.ns3535.csv                            Sieve cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                             GDSF cache size       42MiB, 1000001 req, miss ratio 0.1710, byte miss ratio 0.5219
result/tencentBlock.ns3535.csv                             GDSF cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size       42MiB, 1000001 req, miss ratio 0.1867, byte miss ratio 0.5169
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size       42MiB, 1000001 req, miss ratio 0.1836, byte miss ratio 0.5116
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LHD cache size       42MiB, 1000001 req, miss ratio 0.1712, byte miss ratio 0.5216
result/tencentBlock.ns3535.csv                              LHD cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LRU cache size       42MiB, 1000001 req, miss ratio 0.2031, byte miss ratio 0.5197
result/tencentBlock.ns3535.csv                              LRU cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              ARC cache size       42MiB, 1000001 req, miss ratio 0.2131, byte miss ratio 0.5337
result/tencentBlock.ns3535.csv                              ARC cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            Sieve cache size       42MiB, 1000001 req, miss ratio 0.1937, byte miss ratio 0.5207
result/tencentBlock.ns3535.csv                            Sieve cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            LeCaR cache size       42MiB, 1000001 req, miss ratio 0.1990, byte miss ratio 0.5242
result/tencentBlock.ns3535.csv                            LeCaR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size       42MiB, 1000001 req, miss ratio 0.1795, byte miss ratio 0.4943
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                             GDSF cache size       42MiB, 1000001 req, miss ratio 0.1710, byte miss ratio 0.5219
result/tencentBlock.ns3535.csv                             GDSF cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                          Cacheus cache size       42MiB, 1000001 req, miss ratio 0.1956, byte miss ratio 0.5250
result/tencentBlock.ns3535.csv                          Cacheus cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                          LRB-BMR cache size       42MiB, 1000001 req, miss ratio 0.1872, byte miss ratio 0.4969
result/tencentBlock.ns3535.csv                          LRB-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size       42MiB, 1000001 req, miss ratio 0.1867, byte miss ratio 0.5169
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size       42MiB, 1000001 req, miss ratio 0.1836, byte miss ratio 0.5116
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LHD cache size       42MiB, 1000001 req, miss ratio 0.1712, byte miss ratio 0.5216
result/tencentBlock.ns3535.csv                              LHD cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            LeCaR cache size       42MiB, 1000001 req, miss ratio 0.1990, byte miss ratio 0.5242
result/tencentBlock.ns3535.csv                            LeCaR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LRU cache size       42MiB, 1000001 req, miss ratio 0.2031, byte miss ratio 0.5197
result/tencentBlock.ns3535.csv                              LRU cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              ARC cache size       42MiB, 1000001 req, miss ratio 0.2131, byte miss ratio 0.5337
result/tencentBlock.ns3535.csv                              ARC cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size       42MiB, 1000001 req, miss ratio 0.1795, byte miss ratio 0.4943
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            Sieve cache size       42MiB, 1000001 req, miss ratio 0.1937, byte miss ratio 0.5207
result/tencentBlock.ns3535.csv                            Sieve cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                             GDSF cache size       42MiB, 1000001 req, miss ratio 0.1710, byte miss ratio 0.5219
result/tencentBlock.ns3535.csv                             GDSF cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size       42MiB, 1000001 req, miss ratio 0.1867, byte miss ratio 0.5169
result/tencentBlock.ns3535.csv                    TLCacheQL-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size       42MiB, 1000001 req, miss ratio 0.1836, byte miss ratio 0.5116
result/tencentBlock.ns3535.csv                      TLCache-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LRU cache size       42MiB, 1000001 req, miss ratio 0.2031, byte miss ratio 0.5197
result/tencentBlock.ns3535.csv                              LRU cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              LHD cache size       42MiB, 1000001 req, miss ratio 0.1712, byte miss ratio 0.5216
result/tencentBlock.ns3535.csv                              LHD cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                              ARC cache size       42MiB, 1000001 req, miss ratio 0.2131, byte miss ratio 0.5337
result/tencentBlock.ns3535.csv                              ARC cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            LeCaR cache size       42MiB, 1000001 req, miss ratio 0.1990, byte miss ratio 0.5242
result/tencentBlock.ns3535.csv                            LeCaR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                            Sieve cache size       42MiB, 1000001 req, miss ratio 0.1937, byte miss ratio 0.5207
result/tencentBlock.ns3535.csv                            Sieve cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size       42MiB, 1000001 req, miss ratio 0.1795, byte miss ratio 0.4943
result/tencentBlock.ns3535.csv                  S3FIFO-0.1000-2 cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                             GDSF cache size       42MiB, 1000001 req, miss ratio 0.1710, byte miss ratio 0.5219
result/tencentBlock.ns3535.csv                             GDSF cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                          Cacheus cache size       42MiB, 1000001 req, miss ratio 0.1956, byte miss ratio 0.5250
result/tencentBlock.ns3535.csv                          Cacheus cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
result/tencentBlock.ns3535.csv                          LRB-BMR cache size       42MiB, 1000001 req, miss ratio 0.1872, byte miss ratio 0.4969
result/tencentBlock.ns3535.csv                          LRB-BMR cache size     4238MiB, 1000001 req, miss ratio 0.0760, byte miss ratio 0.2094
