result/w54.csv                  S3FIFO-0.1000-2 cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                    TLCacheQL-BMR cache size        2GiB, 1000001 req, miss ratio 0.8724, byte miss ratio 0.9745
result/w54.csv                    TLCacheQL-BMR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                      TLCache-BMR cache size        2GiB, 1000001 req, miss ratio 0.8680, byte miss ratio 0.9716
result/w54.csv                      TLCache-BMR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                              LHD cache size        2GiB, 1000001 req, miss ratio 0.8541, byte miss ratio 0.9689
result/w54.csv                              LHD cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                            LeCaR cache size        2GiB, 1000001 req, miss ratio 0.8532, byte miss ratio 0.9664
result/w54.csv                            LeCaR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                              LHD cache size        2GiB, 1000001 req, miss ratio 0.8540, byte miss ratio 0.9688
result/w54.csv                              LHD cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                      TLCache-BMR cache size        2GiB, 1000001 req, miss ratio 0.8680, byte miss ratio 0.9716
result/w54.csv                      TLCache-BMR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                    TLCacheQL-BMR cache size        2GiB, 1000001 req, miss ratio 0.8724, byte miss ratio 0.9745
result/w54.csv                    TLCacheQL-BMR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                            Sieve cache size        2GiB, 1000001 req, miss ratio 0.8509, byte miss ratio 0.9746
result/w54.csv                            Sieve cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                          LRB-BMR cache size        2GiB, 1000001 req, miss ratio 0.8646, byte miss ratio 0.9676
result/w54.csv                          LRB-BMR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                            LeCaR cache size        2GiB, 1000001 req, miss ratio 0.8532, byte miss ratio 0.9664
result/w54.csv                            LeCaR cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                              LRU cache size        2GiB, 1000001 req, miss ratio 0.8646, byte miss ratio 0.9676
result/w54.csv                              LRU cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                              ARC cache size        2GiB, 1000001 req, miss ratio 0.8639, byte miss ratio 0.9774
result/w54.csv                              ARC cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv              WTinyLFU-w0.01-SLRU cache size        2GiB, 1000001 req, miss ratio 0.8558, byte miss ratio 0.9810
result/w54.csv              WTinyLFU-w0.01-SLRU cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                             GDSF cache size        2GiB, 1000001 req, miss ratio 0.8379, byte miss ratio 0.9658
result/w54.csv                             GDSF cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
result/w54.csv                  S3FIFO-0.1000-2 cache size        2GiB, 1000001 req, miss ratio 0.8593, byte miss ratio 0.9787
result/w54.csv                  S3FIFO-0.1000-2 cache size      257GiB, 1000001 req, miss ratio 0.8237, byte miss ratio 0.9555
